Reading #,Method Name,User Factor Name,Test Label,Grid ID,Latitude,Longitude,Elevation,Pseudo Element Config Name,Date,Time, Units,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error 1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error 1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error 1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error 1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error 1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error 1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error 1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error 1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error 1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error 1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error 1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error 1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error 1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error 1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error 1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error 1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error 1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error 1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error 1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error 1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error 1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error 1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error 1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error 1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error 1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error 1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error 1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error 1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error 1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error 1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error 1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error 1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error 1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error 1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error 1s,info
11,Geochem(2),,11,A10,33.6012001,-101.8980026,834.5059814,,5/8/18,13:11:28,ppm,,,<LOD,5782,,,,66497,386,,,,280746,537,,,,<LOD,178,,,,<LOD,117,,,,12104,42,,,,<LOD,328,,,,2410,48,,,,37,6,,,,<LOD,31,,,,173,7,,,,13039,40,,,,<LOD,40,,,,19,3,,,,10,1,,,,29,1,,,,4,0,,,,<LOD,1,,,,46,1,,,,46,1,,,,12,0,,,,243,1,,,,8,1,,,,5,1,,,,<LOD,18,,,,<LOD,21,,,,<LOD,31,,,,<LOD,41,,,,<LOD,10,,,,<LOD,7,,,,9,1,,,,<LOD,12,,,,9,2,,,,<LOD,6,,,,624553,696,
12,Geochem(2),,12,B01,33.60129929,-101.8970032,893.0709839,,5/8/18,13:13:29,ppm,,,<LOD,6050,,,,67562,392,,,,259318,520,,,,<LOD,196,,,,144,14,,,,13898,44,,,,149,19,,,,3482,54,,,,55,6,,,,60,8,,,,351,9,,,,20041,54,,,,<LOD,51,,,,19,3,,,,16,1,,,,47,1,,,,7,1,,,,<LOD,1,,,,67,1,,,,70,1,,,,19,1,,,,287,1,,,,14,1,,,,4,1,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,10,,,,<LOD,7,,,,14,1,,,,<LOD,12,,,,10,2,,,,3,1,,,,634362,705,
13,Geochem(2),,13,B02,33.60129929,-101.8970032,911.5549927,,5/8/18,13:15:35,ppm,,,<LOD,9782,,,,66886,397,,,,274871,547,,,,<LOD,196,,,,58,15,,,,13857,46,,,,<LOD,358,,,,3214,54,,,,57,6,,,,34,8,,,,231,8,,,,17414,50,,,,<LOD,48,,,,20,3,,,,15,2,,,,45,1,,,,5,1,,,,<LOD,1,,,,62,1,,,,67,1,,,,19,1,,,,256,1,,,,14,1,,,,8,1,,,,<LOD,19,,,,<LOD,21,,,,<LOD,32,,,,<LOD,42,,,,<LOD,11,,,,<LOD,7,,,,11,1,,,,<LOD,12,,,,11,2,,,,<LOD,6,,,,622843,722,
14,Geochem(2),,14,B03,33.60129929,-101.8970032,911.5549927,,5/8/18,13:17:34,ppm,,,<LOD,8533,,,,54367,352,,,,307550,563,,,,<LOD,173,,,,<LOD,108,,,,11482,40,,,,<LOD,292,,,,2786,51,,,,37,6,,,,45,8,,,,203,7,,,,12070,38,,,,<LOD,38,,,,15,2,,,,14,1,,,,30,1,,,,4,0,,,,<LOD,1,,,,49,1,,,,55,1,,,,16,0,,,,323,1,,,,12,1,,,,6,1,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,10,,,,<LOD,7,,,,10,1,,,,<LOD,12,,,,10,2,,,,4,1,,,,610914,694,
15,Geochem(2),,15,B04,33.6012001,-101.8980026,,,5/8/18,13:19:32,ppm,,,<LOD,5769,,,,70647,392,,,,265420,520,,,,<LOD,188,,,,50,14,,,,13009,43,,,,<LOD,350,,,,2949,51,,,,45,6,,,,43,8,,,,204,7,,,,19281,52,,,,<LOD,49,,,,21,3,,,,14,1,,,,44,1,,,,6,1,,,,<LOD,1,,,,61,1,,,,60,1,,,,15,1,,,,266,1,,,,13,1,,,,8,1,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,11,,,,<LOD,7,,,,12,1,,,,<LOD,12,,,,14,2,,,,<LOD,6,,,,627819,701,
16,Geochem(2),,16,B05,33.6012001,-101.8980026,914.7979736,,5/8/18,13:21:19,ppm,,,<LOD,5435,,,,69486,380,,,,265998,508,,,,<LOD,181,,,,83,13,,,,14059,43,,,,<LOD,343,,,,3096,50,,,,49,6,,,,52,7,,,,303,8,,,,18516,50,,,,<LOD,47,,,,18,2,,,,18,1,,,,46,1,,,,6,1,,,,<LOD,1,,,,64,1,,,,68,1,,,,18,1,,,,282,1,,,,12,1,,,,<LOD,5,,,,<LOD,17,,,,<LOD,20,,,,<LOD,30,,,,<LOD,39,,,,<LOD,10,,,,<LOD,7,,,,13,1,,,,<LOD,12,,,,9,2,,,,<LOD,6,,,,627806,683,
17,Geochem(2),,17,B06,33.6012001,-101.8980026,917.7059937,,5/8/18,13:23:22,ppm,,,<LOD,5445,,,,71341,381,,,,268052,507,,,,<LOD,180,,,,72,13,,,,12908,41,,,,<LOD,338,,,,2588,47,,,,51,5,,,,23,7,,,,145,7,,,,16630,46,,,,<LOD,44,,,,17,2,,,,15,1,,,,39,1,,,,5,0,,,,<LOD,1,,,,56,1,,,,54,1,,,,14,0,,,,277,1,,,,10,1,,,,5,1,,,,<LOD,17,,,,<LOD,20,,,,<LOD,30,,,,<LOD,39,,,,<LOD,10,,,,<LOD,6,,,,10,1,,,,<LOD,12,,,,8,2,,,,<LOD,6,,,,627678,678,
18,Geochem(2),,18,B07,33.6012001,-101.8970032,920.8330078,,5/8/18,13:25:09,ppm,,,<LOD,6743,,,,68041,411,,,,250224,531,,,,<LOD,224,,,,71,15,,,,12861,45,,,,<LOD,398,,,,2723,52,,,,53,6,,,,30,8,,,,243,8,,,,16312,49,,,,<LOD,47,,,,22,3,,,,17,2,,,,37,1,,,,5,1,,,,<LOD,1,,,,55,1,,,,54,1,,,,14,1,,,,258,1,,,,12,1,,,,10,1,,,,<LOD,19,,,,<LOD,21,,,,<LOD,33,,,,<LOD,43,,,,<LOD,11,,,,<LOD,7,,,,11,1,,,,<LOD,13,,,,14,2,,,,<LOD,6,,,,648933,720,
19,Geochem(2),,19,B08,33.60100174,-101.8970032,926.6849976,,5/8/18,13:27:13,ppm,,,<LOD,9995,,,,63247,385,,,,262823,530,,,,<LOD,206,,,,110,15,,,,13065,43,,,,<LOD,371,,,,3029,52,,,,45,6,,,,30,8,,,,213,8,,,,17489,50,,,,<LOD,48,,,,23,3,,,,16,2,,,,41,1,,,,5,0,,,,<LOD,1,,,,61,1,,,,62,1,,,,16,1,,,,286,1,,,,13,1,,,,7,1,,,,<LOD,18,,,,<LOD,21,,,,<LOD,32,,,,<LOD,41,,,,<LOD,10,,,,<LOD,7,,,,10,1,,,,<LOD,12,,,,12,2,,,,<LOD,6,,,,639397,703,
20,Geochem(2),,20,B09,33.60100174,-101.8970032,926.6849976,,5/8/18,13:29:20,ppm,,,<LOD,4982,,,,72877,370,,,,274880,498,,,,<LOD,171,,,,62,12,,,,12271,39,,,,<LOD,316,,,,2677,47,,,,50,5,,,,40,7,,,,243,7,,,,16926,45,,,,<LOD,43,,,,23,2,,,,13,1,,,,39,1,,,,6,0,,,,<LOD,1,,,,57,1,,,,54,1,,,,15,0,,,,283,1,,,,9,1,,,,<LOD,5,,,,<LOD,17,,,,<LOD,19,,,,<LOD,29,,,,<LOD,38,,,,<LOD,10,,,,<LOD,6,,,,10,1,,,,<LOD,11,,,,<LOD,9,,,,<LOD,5,,,,619468,662,
