Reading #,Method Name,User Factor Name,Test Label,Grid ID,Latitude,Longitude,Elevation,Pseudo Element Config Name,Date,Time, Units,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error 1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error 1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error 1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error 1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error 1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error 1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error 1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error 1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error 1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error 1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error 1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error 1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error 1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error 1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error 1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error 1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error 1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error 1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error 1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error 1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error 1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error 1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error 1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error 1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error 1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error 1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error 1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error 1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error 1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error 1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error 1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error 1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error 1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error 1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error 1s,info
11,Geochem(2),,11,A10,33.60400009,-101.9039993,983.5200195,,5/7/18,12:49:47,ppm,,,<LOD,5505,,,,16880,256,,,,82799,244,,,,<LOD,229,,,,<LOD,99,,,,4036,22,,,,224864,464,,,,1278,45,,,,44,6,,,,34,9,,,,110,7,,,,6895,32,,,,<LOD,36,,,,19,3,,,,10,2,,,,20,1,,,,4,1,,,,<LOD,2,,,,26,1,,,,194,1,,,,8,1,,,,139,1,,,,5,1,,,,4,1,,,,<LOD,22,,,,<LOD,25,,,,<LOD,38,,,,<LOD,49,,,,7,2,,,,<LOD,8,,,,6,1,,,,<LOD,15,,,,16,2,,,,<LOD,7,,,,662600,715,
12,Geochem(2),,12,B01,33.60400009,-101.9039993,978.3519897,,5/7/18,12:52:49,ppm,,,<LOD,4150,,,,27175,297,,,,114846,312,,,,<LOD,209,,,,120,14,,,,5831,27,,,,167886,352,,,,2333,53,,,,81,7,,,,38,9,,,,179,8,,,,11823,44,,,,<LOD,45,,,,23,3,,,,15,2,,,,27,1,,,,6,1,,,,1,0,,,,36,1,,,,162,1,,,,10,1,,,,141,1,,,,8,1,,,,5,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,37,,,,<LOD,48,,,,<LOD,12,,,,5,1,,,,8,1,,,,<LOD,14,,,,13,2,,,,<LOD,7,,,,669229,718,
13,Geochem(2),,13,B02,33.60400009,-101.9039993,978.6519775,,5/7/18,12:54:40,ppm,,,<LOD,6863,,,,23936,299,,,,89663,277,,,,<LOD,222,,,,231,14,,,,5375,26,,,,178262,399,,,,2281,55,,,,104,7,,,,39,9,,,,127,8,,,,11170,45,,,,<LOD,46,,,,19,3,,,,16,2,,,,38,1,,,,5,1,,,,1,0,,,,40,1,,,,175,1,,,,13,1,,,,193,1,,,,11,1,,,,7,1,,,,<LOD,23,,,,<LOD,25,,,,<LOD,39,,,,<LOD,50,,,,<LOD,13,,,,<LOD,9,,,,10,1,,,,<LOD,15,,,,19,2,,,,3,1,,,,688261,727,
14,Geochem(2),,14,B03,33.60400009,-101.9039993,979.1019897,,5/7/18,12:56:58,ppm,,,<LOD,5459,,,,32662,332,,,,136583,375,,,,119,36,,,,158,15,,,,7256,32,,,,109103,245,,,,2447,55,,,,78,7,,,,<LOD,38,,,,196,8,,,,15042,53,,,,<LOD,51,,,,17,3,,,,15,2,,,,40,1,,,,6,1,,,,<LOD,2,,,,54,1,,,,145,1,,,,14,1,,,,245,1,,,,12,1,,,,6,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,37,,,,<LOD,48,,,,<LOD,12,,,,4,1,,,,10,1,,,,<LOD,14,,,,12,2,,,,<LOD,7,,,,695775,717,
15,Geochem(2),,15,B04,33.60400009,-101.9039993,976.7470093,,5/7/18,12:59:08,ppm,,,<LOD,4680,,,,53229,345,,,,208893,434,,,,<LOD,219,,,,81,13,,,,10290,35,,,,60882,118,,,,2806,50,,,,57,6,,,,<LOD,33,,,,228,8,,,,16070,47,,,,<LOD,45,,,,18,3,,,,18,1,,,,40,1,,,,6,1,,,,<LOD,1,,,,57,1,,,,108,1,,,,15,1,,,,240,1,,,,10,1,,,,<LOD,5,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,11,,,,<LOD,7,,,,11,1,,,,<LOD,12,,,,12,2,,,,<LOD,6,,,,646929,673,
16,Geochem(2),,16,B05,33.60400009,-101.9039993,979.7589722,,5/7/18,13:01:37,ppm,,,<LOD,4374,,,,35741,302,,,,140885,337,,,,<LOD,238,,,,<LOD,116,,,,7218,28,,,,111140,218,,,,2274,47,,,,47,6,,,,44,8,,,,154,7,,,,12588,41,,,,<LOD,42,,,,14,2,,,,18,2,,,,29,1,,,,5,0,,,,<LOD,1,,,,48,1,,,,103,1,,,,17,1,,,,245,1,,,,10,1,,,,4,1,,,,<LOD,19,,,,<LOD,21,,,,<LOD,33,,,,<LOD,42,,,,<LOD,11,,,,3,1,,,,10,1,,,,<LOD,13,,,,9,2,,,,<LOD,6,,,,689396,637,
17,Geochem(2),,17,B06,33.60400009,-101.9039993,979.7659912,,5/7/18,13:04:02,ppm,,,<LOD,4252,,,,36830,324,,,,143342,359,,,,<LOD,202,,,,45,14,,,,7969,32,,,,147556,301,,,,2288,53,,,,72,7,,,,70,9,,,,172,8,,,,13095,46,,,,<LOD,47,,,,23,3,,,,18,2,,,,33,1,,,,5,1,,,,<LOD,2,,,,39,1,,,,159,1,,,,14,1,,,,197,1,,,,11,1,,,,8,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,36,,,,<LOD,47,,,,<LOD,12,,,,<LOD,8,,,,11,1,,,,<LOD,14,,,,19,2,,,,3,1,,,,648022,737,
18,Geochem(2),,18,B07,33.60400009,-101.9039993,979.242981,,5/7/18,13:06:33,ppm,,,<LOD,3756,,,,30839,283,,,,141172,330,,,,<LOD,223,,,,77,12,,,,6636,27,,,,145215,276,,,,1963,46,,,,47,6,,,,34,8,,,,132,7,,,,10351,37,,,,<LOD,39,,,,14,3,,,,14,1,,,,28,1,,,,4,0,,,,<LOD,2,,,,38,1,,,,160,1,,,,11,0,,,,206,1,,,,6,1,,,,<LOD,5,,,,<LOD,19,,,,<LOD,22,,,,<LOD,33,,,,<LOD,43,,,,<LOD,11,,,,3,1,,,,9,1,,,,<LOD,13,,,,7,2,,,,<LOD,6,,,,663032,660,
19,Geochem(2),,19,B08,33.60400009,-101.9039993,978.3519897,,5/7/18,13:08:44,ppm,,,<LOD,4166,,,,22042,279,,,,105900,298,,,,<LOD,249,,,,<LOD,115,,,,4986,25,,,,171414,366,,,,1582,48,,,,46,6,,,,37,8,,,,100,7,,,,8194,36,,,,<LOD,38,,,,15,3,,,,12,2,,,,21,1,,,,5,1,,,,1,0,,,,32,1,,,,167,1,,,,10,1,,,,157,1,,,,7,1,,,,4,1,,,,<LOD,22,,,,<LOD,25,,,,<LOD,38,,,,<LOD,49,,,,<LOD,12,,,,<LOD,8,,,,6,1,,,,<LOD,14,,,,11,2,,,,<LOD,7,,,,685252,698,
20,Geochem(2),,20,B09,33.60409927,-101.9039993,979.2219849,,5/7/18,13:10:46,ppm,,,<LOD,4506,,,,20175,298,,,,94829,300,,,,<LOD,228,,,,<LOD,129,,,,5120,28,,,,189134,443,,,,1557,53,,,,33,7,,,,46,10,,,,101,8,,,,8303,39,,,,<LOD,43,,,,20,3,,,,14,2,,,,22,1,,,,5,1,,,,<LOD,2,,,,33,1,,,,182,1,,,,11,1,,,,166,1,,,,12,1,,,,13,1,,,,<LOD,25,,,,<LOD,28,,,,<LOD,42,,,,<LOD,55,,,,<LOD,14,,,,<LOD,9,,,,7,1,,,,<LOD,16,,,,22,2,,,,4,1,,,,680191,776,
21,Geochem(2),,21,B10,33.60400009,-101.9039993,974.8250122,,5/7/18,13:12:45,ppm,,,<LOD,3381,,,,17378,251,,,,79056,233,,,,<LOD,227,,,,<LOD,98,,,,3911,21,,,,229813,466,,,,1320,45,,,,47,6,,,,37,8,,,,128,7,,,,6892,32,,,,<LOD,36,,,,18,3,,,,9,2,,,,20,1,,,,4,1,,,,1,0,,,,27,1,,,,160,1,,,,10,1,,,,152,1,,,,6,1,,,,<LOD,6,,,,<LOD,22,,,,<LOD,25,,,,<LOD,37,,,,<LOD,49,,,,<LOD,12,,,,4,1,,,,7,1,,,,<LOD,14,,,,8,2,,,,<LOD,7,,,,660992,706,
22,Geochem(2),,22,C01,33.60409927,-101.9039993,964.0280151,,5/7/18,13:20:02,ppm,,,<LOD,4512,,,,23511,299,,,,107038,317,,,,<LOD,223,,,,<LOD,128,,,,5232,27,,,,169823,384,,,,1791,53,,,,44,7,,,,40,9,,,,85,7,,,,9396,41,,,,<LOD,43,,,,25,3,,,,14,2,,,,25,1,,,,5,1,,,,<LOD,2,,,,36,1,,,,142,1,,,,13,1,,,,160,1,,,,10,1,,,,11,1,,,,<LOD,23,,,,<LOD,26,,,,<LOD,40,,,,<LOD,52,,,,<LOD,13,,,,<LOD,9,,,,7,1,,,,<LOD,15,,,,19,2,,,,<LOD,7,,,,682573,745,
23,Geochem(2),,23,C02,33.60409927,-101.9039993,965.0529785,,5/7/18,13:22:37,ppm,,,<LOD,8930,,,,55178,371,,,,220593,481,,,,<LOD,238,,,,110,15,,,,11099,39,,,,41525,90,,,,2726,52,,,,46,6,,,,28,8,,,,196,8,,,,16562,50,,,,<LOD,48,,,,16,3,,,,15,2,,,,39,1,,,,7,1,,,,<LOD,1,,,,57,1,,,,81,1,,,,18,1,,,,248,1,,,,12,1,,,,7,1,,,,<LOD,19,,,,<LOD,22,,,,<LOD,33,,,,<LOD,43,,,,<LOD,11,,,,<LOD,7,,,,11,1,,,,<LOD,13,,,,12,2,,,,2,1,,,,651410,710,
24,Geochem(2),,24,C03,33.60409927,-101.9039993,968.947998,,5/7/18,13:24:50,ppm,,,<LOD,5417,,,,54556,359,,,,216012,461,,,,<LOD,230,,,,100,14,,,,10830,37,,,,42838,90,,,,2851,51,,,,71,6,,,,37,8,,,,208,8,,,,16253,48,,,,<LOD,46,,,,21,3,,,,17,2,,,,40,1,,,,6,1,,,,<LOD,1,,,,58,1,,,,88,1,,,,19,1,,,,262,1,,,,12,1,,,,4,1,,,,<LOD,19,,,,<LOD,21,,,,<LOD,32,,,,<LOD,41,,,,<LOD,11,,,,<LOD,7,,,,10,1,,,,<LOD,12,,,,9,2,,,,<LOD,6,,,,655696,686,
25,Geochem(2),,25,C04,33.60409927,-101.9039993,969.8530273,,5/7/18,13:26:58,ppm,,,<LOD,5764,,,,68518,392,,,,253232,510,,,,<LOD,203,,,,149,14,,,,13360,43,,,,10046,33,,,,3183,52,,,,54,6,,,,51,8,,,,293,8,,,,20319,55,,,,<LOD,51,,,,24,3,,,,19,2,,,,52,1,,,,8,1,,,,<LOD,1,,,,70,1,,,,77,1,,,,19,1,,,,297,1,,,,15,1,,,,5,1,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,11,,,,<LOD,7,,,,14,1,,,,<LOD,12,,,,13,2,,,,<LOD,6,,,,630181,709,
26,Geochem(2),,26,C05,33.60409927,-101.9039993,971.059021,,5/7/18,13:29:11,ppm,,,3366,1015,,,,70968,378,,,,260484,551,,,,<LOD,183,,,,120,13,,,,12623,41,,,,19476,50,,,,3287,51,,,,61,6,,,,50,7,,,,245,8,,,,20513,56,,,,<LOD,49,,,,16,2,,,,18,1,,,,49,1,,,,7,1,,,,<LOD,1,,,,68,1,,,,81,1,,,,16,1,,,,270,1,,,,12,1,,,,<LOD,5,,,,<LOD,17,,,,<LOD,19,,,,<LOD,29,,,,<LOD,38,,,,<LOD,10,,,,<LOD,6,,,,12,1,,,,<LOD,11,,,,7,2,,,,<LOD,5,,,,608251,921,
27,Geochem(2),,27,C06,33.60400009,-101.9039993,973.0750122,,5/7/18,13:31:02,ppm,,,<LOD,5316,,,,65171,376,,,,253797,498,,,,<LOD,201,,,,174,14,,,,12877,41,,,,17905,45,,,,2993,51,,,,71,6,,,,34,7,,,,220,8,,,,18507,51,,,,<LOD,48,,,,21,3,,,,19,2,,,,42,1,,,,7,1,,,,<LOD,1,,,,63,1,,,,71,1,,,,16,1,,,,280,1,,,,12,1,,,,4,1,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,10,,,,<LOD,7,,,,12,1,,,,<LOD,12,,,,8,2,,,,<LOD,6,,,,627697,693,
28,Geochem(2),,28,C07,33.60400009,-101.9039993,969.8150024,,5/7/18,13:33:00,ppm,,,<LOD,5079,,,,58115,354,,,,238369,473,,,,<LOD,205,,,,69,13,,,,10858,37,,,,31207,66,,,,2700,49,,,,37,5,,,,43,7,,,,151,7,,,,15044,44,,,,<LOD,43,,,,17,2,,,,14,1,,,,35,1,,,,6,0,,,,<LOD,1,,,,54,1,,,,69,1,,,,15,0,,,,260,1,,,,11,1,,,,3,1,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,10,,,,<LOD,7,,,,11,1,,,,<LOD,12,,,,10,2,,,,<LOD,6,,,,642904,669,
29,Geochem(2),,29,C08,33.60400009,-101.9039993,971.0120239,,5/7/18,13:35:23,ppm,,,3507,1072,,,,57493,356,,,,234095,527,,,,<LOD,208,,,,71,13,,,,10550,38,,,,40345,92,,,,2706,49,,,,56,6,,,,39,7,,,,154,7,,,,15247,47,,,,<LOD,44,,,,17,2,,,,14,1,,,,34,1,,,,6,0,,,,<LOD,1,,,,54,1,,,,76,1,,,,16,0,,,,252,1,,,,10,1,,,,3,1,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,6,2,,,,<LOD,7,,,,9,1,,,,<LOD,12,,,,7,2,,,,<LOD,6,,,,635233,959,
30,Geochem(2),,30,C09,33.60400009,-101.9039993,977.28302,,5/7/18,13:37:22,ppm,,,<LOD,4846,,,,50979,341,,,,212328,443,,,,<LOD,225,,,,74,13,,,,9866,35,,,,52811,105,,,,2745,50,,,,51,6,,,,30,7,,,,173,7,,,,14554,44,,,,<LOD,43,,,,21,3,,,,14,1,,,,36,1,,,,5,0,,,,<LOD,1,,,,54,1,,,,85,1,,,,17,1,,,,254,1,,,,10,1,,,,<LOD,5,,,,<LOD,18,,,,<LOD,21,,,,<LOD,31,,,,<LOD,41,,,,<LOD,10,,,,<LOD,7,,,,11,1,,,,<LOD,12,,,,9,2,,,,<LOD,6,,,,655872,666,
31,Geochem(2),,31,C10,33.60390091,-101.9039993,980.1370239,,5/7/18,13:40:00,ppm,,,<LOD,5474,,,,40654,343,,,,179536,433,,,,<LOD,263,,,,<LOD,124,,,,9074,35,,,,76788,164,,,,2487,53,,,,45,6,,,,<LOD,36,,,,180,8,,,,12772,45,,,,<LOD,45,,,,15,3,,,,15,2,,,,32,1,,,,4,1,,,,<LOD,2,,,,48,1,,,,102,1,,,,15,1,,,,230,1,,,,12,1,,,,7,1,,,,<LOD,20,,,,<LOD,23,,,,<LOD,35,,,,<LOD,46,,,,<LOD,11,,,,<LOD,8,,,,11,1,,,,<LOD,14,,,,18,2,,,,<LOD,7,,,,677954,704,
32,Geochem(2),,32,D01,33.60400009,-101.9039993,978.257019,,5/7/18,13:42:20,ppm,,,<LOD,5516,,,,65919,376,,,,248362,490,,,,<LOD,206,,,,213,14,,,,11942,39,,,,15160,40,,,,3027,50,,,,58,6,,,,34,7,,,,160,7,,,,16997,48,,,,<LOD,46,,,,22,2,,,,15,1,,,,40,1,,,,8,0,,,,<LOD,1,,,,59,1,,,,60,1,,,,17,0,,,,265,1,,,,11,1,,,,4,1,,,,<LOD,18,,,,<LOD,20,,,,<LOD,30,,,,<LOD,39,,,,<LOD,10,,,,<LOD,7,,,,9,1,,,,<LOD,12,,,,10,2,,,,<LOD,6,,,,637608,681,
