Reading #,Method Name,User Factor Name,Test Label,Grid ID,Latitude,Longitude,Elevation,Pseudo Element Config Name,Date,Time, Units,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error 1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error 1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error 1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error 1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error 1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error 1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error 1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error 1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error 1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error 1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error 1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error 1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error 1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error 1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error 1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error 1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error 1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error 1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error 1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error 1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error 1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error 1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error 1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error 1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error 1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error 1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error 1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error 1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error 1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error 1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error 1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error 1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error 1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error 1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error 1s,info
1,Geochem(2),,1,CHECK,33.60400009,-101.9049988,1033.430054,,5/7/18,12:23:13,ppm,,,20681,2892,,,,10916,406,,,,7846,116,,,,1546,39,,,,12785,62,,,,11897,56,,,,1089,21,,,,<LOD,376,,,,272,9,,,,153623,479,,,,20894,116,,,,639845,1920,,,,<LOD,84,,,,90881,309,,,,4768,49,,,,<LOD,3,,,,<LOD,2,,,,9,3,,,,<LOD,1,,,,<LOD,1,,,,<LOD,1,,,,<LOD,1,,,,<LOD,1,,,,21087,68,,,,<LOD,3,,,,<LOD,4,,,,120,18,,,,97,23,,,,361,19,,,,<LOD,4,,,,196,13,,,,602,12,,,,<LOD,2,,,,57,6,,,,429,4,
2,Geochem(2),,2,A01,33.60400009,-101.9049988,1033.430054,,5/7/18,12:26:34,ppm,,,<LOD,6066,,,,18206,277,,,,86233,262,,,,<LOD,212,,,,<LOD,108,,,,4175,23,,,,208040,446,,,,1446,48,,,,40,6,,,,32,9,,,,90,7,,,,7230,34,,,,<LOD,37,,,,13,3,,,,12,2,,,,19,1,,,,5,1,,,,1,0,,,,29,1,,,,202,1,,,,10,1,,,,161,1,,,,7,1,,,,5,1,,,,<LOD,22,,,,<LOD,25,,,,<LOD,38,,,,<LOD,50,,,,<LOD,13,,,,4,1,,,,7,1,,,,<LOD,15,,,,14,2,,,,<LOD,7,,,,674020,722,
3,Geochem(2),,3,A02,33.60409927,-101.9039993,1020.349976,,5/7/18,12:29:08,ppm,,,<LOD,3833,,,,15373,258,,,,75332,232,,,,<LOD,231,,,,<LOD,99,,,,3649,21,,,,229166,476,,,,1319,46,,,,45,6,,,,28,8,,,,84,7,,,,6633,31,,,,<LOD,35,,,,13,3,,,,12,2,,,,22,1,,,,6,1,,,,1,0,,,,26,1,,,,211,1,,,,9,1,,,,130,1,,,,6,1,,,,4,1,,,,<LOD,22,,,,<LOD,25,,,,<LOD,38,,,,<LOD,50,,,,<LOD,13,,,,<LOD,8,,,,6,1,,,,<LOD,15,,,,9,2,,,,<LOD,7,,,,667918,710,
4,Geochem(2),,4,A03,33.60409927,-101.9039993,1020.349976,,5/7/18,12:31:08,ppm,,,<LOD,4065,,,,18308,270,,,,84671,253,,,,<LOD,236,,,,<LOD,103,,,,4353,23,,,,206518,433,,,,1442,47,,,,46,6,,,,<LOD,36,,,,90,7,,,,7524,34,,,,<LOD,37,,,,13,3,,,,12,2,,,,21,1,,,,5,1,,,,<LOD,2,,,,29,1,,,,184,1,,,,10,1,,,,163,1,,,,8,1,,,,6,1,,,,<LOD,22,,,,<LOD,25,,,,<LOD,38,,,,<LOD,49,,,,<LOD,13,,,,<LOD,8,,,,7,1,,,,<LOD,15,,,,16,2,,,,<LOD,7,,,,676573,701,
5,Geochem(2),,5,A04,33.60369873,-101.9039993,,,5/7/18,12:34:41,ppm,,,<LOD,4089,,,,22287,274,,,,110193,293,,,,<LOD,233,,,,<LOD,105,,,,4947,24,,,,175145,354,,,,1714,47,,,,66,6,,,,37,8,,,,124,7,,,,7928,33,,,,<LOD,36,,,,18,3,,,,14,2,,,,21,1,,,,4,0,,,,<LOD,2,,,,33,1,,,,148,1,,,,10,0,,,,184,1,,,,7,1,,,,4,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,36,,,,<LOD,47,,,,<LOD,12,,,,<LOD,8,,,,6,1,,,,<LOD,14,,,,<LOD,11,,,,<LOD,7,,,,677111,678,
6,Geochem(2),,6,A05,33.60409927,-101.9039993,1009.77002,,5/7/18,12:36:38,ppm,,,<LOD,4359,,,,25255,298,,,,128701,340,,,,<LOD,242,,,,<LOD,112,,,,5951,28,,,,167336,350,,,,1821,50,,,,37,6,,,,32,9,,,,116,7,,,,9258,38,,,,<LOD,41,,,,11,3,,,,12,2,,,,23,1,,,,5,1,,,,<LOD,2,,,,35,1,,,,158,1,,,,12,1,,,,171,1,,,,11,1,,,,9,1,,,,<LOD,22,,,,<LOD,25,,,,<LOD,38,,,,<LOD,49,,,,7,2,,,,<LOD,8,,,,8,1,,,,<LOD,15,,,,16,2,,,,<LOD,7,,,,661015,732,
7,Geochem(2),,7,A06,33.60409927,-101.9039993,1004.26001,,5/7/18,12:38:36,ppm,,,4483,1370,,,,21451,274,,,,112153,335,,,,<LOD,235,,,,<LOD,105,,,,5070,25,,,,172673,422,,,,1663,47,,,,33,6,,,,41,8,,,,105,7,,,,7919,35,,,,<LOD,37,,,,12,3,,,,10,2,,,,21,1,,,,5,0,,,,1,0,,,,33,1,,,,165,1,,,,9,0,,,,155,1,,,,7,1,,,,3,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,36,,,,<LOD,47,,,,8,2,,,,3,1,,,,6,1,,,,<LOD,14,,,,10,2,,,,<LOD,7,,,,673963,1151,
8,Geochem(2),,8,A07,33.60400009,-101.9039993,1000.460022,,5/7/18,12:41:30,ppm,,,<LOD,4497,,,,21745,282,,,,115361,317,,,,<LOD,252,,,,<LOD,117,,,,5497,26,,,,155223,331,,,,1648,48,,,,48,6,,,,43,8,,,,102,7,,,,8321,35,,,,<LOD,38,,,,20,3,,,,13,2,,,,24,1,,,,5,1,,,,<LOD,2,,,,33,1,,,,165,1,,,,8,1,,,,162,1,,,,9,1,,,,5,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,37,,,,<LOD,48,,,,<LOD,12,,,,5,1,,,,6,1,,,,<LOD,14,,,,8,2,,,,3,1,,,,691546,685,
9,Geochem(2),,9,A08,33.60400009,-101.9039993,987.4539795,,5/7/18,12:44:59,ppm,,,<LOD,4181,,,,22027,277,,,,109279,298,,,,<LOD,242,,,,<LOD,111,,,,5216,25,,,,170389,354,,,,1741,48,,,,52,6,,,,43,8,,,,140,7,,,,8563,36,,,,<LOD,38,,,,15,3,,,,11,2,,,,24,1,,,,5,1,,,,<LOD,2,,,,34,1,,,,175,1,,,,11,1,,,,163,1,,,,7,1,,,,6,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,37,,,,<LOD,48,,,,<LOD,12,,,,<LOD,8,,,,7,1,,,,<LOD,14,,,,9,2,,,,3,1,,,,682080,686,
10,Geochem(2),,10,A09,33.60409927,-101.9039993,989.3239746,,5/7/18,12:47:35,ppm,,,<LOD,3635,,,,10858,245,,,,52520,192,,,,<LOD,239,,,,<LOD,99,,,,2768,20,,,,263176,579,,,,1065,46,,,,43,6,,,,30,9,,,,88,7,,,,5344,30,,,,<LOD,34,,,,14,3,,,,10,2,,,,17,1,,,,3,1,,,,<LOD,2,,,,21,1,,,,182,1,,,,9,1,,,,130,1,,,,7,1,,,,9,1,,,,<LOD,24,,,,<LOD,27,,,,<LOD,41,,,,<LOD,54,,,,9,2,,,,4,1,,,,6,1,,,,<LOD,16,,,,16,2,,,,4,1,,,,663667,756,
