Reading #,Method Name,User Factor Name,Test Label,Grid ID,Latitude,Longitude,Elevation,Pseudo Element Config Name,Date,Time, Units,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error 1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error 1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error 1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error 1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error 1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error 1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error 1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error 1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error 1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error 1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error 1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error 1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error 1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error 1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error 1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error 1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error 1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error 1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error 1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error 1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error 1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error 1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error 1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error 1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error 1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error 1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error 1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error 1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error 1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error 1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error 1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error 1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error 1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error 1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error 1s,info
1,Geochem(2),,1,Check,33.604599,-101.8990021,978.5469971,,5/4/18,12:37:58,ppm,,,22454,2901,,,,13167,426,,,,10624,131,,,,1396,38,,,,13090,63,,,,12334,57,,,,1270,22,,,,<LOD,372,,,,253,9,,,,153383,481,,,,20741,116,,,,634716,1916,,,,<LOD,84,,,,89739,307,,,,4675,48,,,,<LOD,3,,,,<LOD,2,,,,<LOD,1,,,,<LOD,1,,,,<LOD,1,,,,<LOD,1,,,,<LOD,1,,,,<LOD,1,,,,20773,67,,,,<LOD,3,,,,<LOD,4,,,,132,18,,,,80,23,,,,343,19,,,,<LOD,4,,,,170,13,,,,598,12,,,,<LOD,2,,,,62,6,,,,<LOD,0,
2,Geochem(2),,2,A01,33.60449982,-101.8990021,,,5/4/18,12:41:03,ppm,,,<LOD,8112,,,,39071,377,,,,177623,477,,,,620,39,,,,<LOD,179,,,,10090,41,,,,59529,143,,,,2361,56,,,,48,7,,,,41,9,,,,182,8,,,,15241,54,,,,<LOD,52,,,,27,3,,,,15,2,,,,40,1,,,,5,1,,,,<LOD,2,,,,46,1,,,,120,1,,,,15,1,,,,219,1,,,,12,1,,,,13,1,,,,<LOD,22,,,,<LOD,25,,,,<LOD,38,,,,<LOD,49,,,,<LOD,12,,,,<LOD,8,,,,10,1,,,,<LOD,15,,,,20,2,,,,5,1,,,,694645,749,
3,Geochem(2),,3,A02,33.60449982,-101.8990021,978.71698,,5/4/18,12:44:58,ppm,,,<LOD,5741,,,,49242,350,,,,204111,439,,,,564,32,,,,<LOD,116,,,,10340,35,,,,50322,102,,,,2396,47,,,,45,5,,,,40,7,,,,195,7,,,,16196,47,,,,<LOD,45,,,,18,2,,,,14,1,,,,45,1,,,,6,0,,,,<LOD,1,,,,54,1,,,,112,1,,,,14,0,,,,239,1,,,,10,1,,,,<LOD,5,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,10,,,,<LOD,7,,,,9,1,,,,<LOD,12,,,,7,2,,,,<LOD,6,,,,666022,665,
4,Geochem(2),,4,A03,33.60449982,-101.8990021,978.71698,,5/4/18,12:47:29,ppm,,,<LOD,4934,,,,41878,338,,,,169782,395,,,,881,37,,,,67,14,,,,8679,33,,,,103864,206,,,,2211,49,,,,46,6,,,,34,8,,,,175,8,,,,13289,44,,,,<LOD,44,,,,16,3,,,,13,2,,,,37,1,,,,5,0,,,,<LOD,1,,,,42,1,,,,154,1,,,,13,1,,,,179,1,,,,9,1,,,,3,1,,,,<LOD,20,,,,<LOD,22,,,,<LOD,34,,,,<LOD,44,,,,<LOD,11,,,,<LOD,7,,,,8,1,,,,<LOD,13,,,,11,2,,,,<LOD,6,,,,658603,697,
5,Geochem(2),,5,A04,33.60449982,-101.8990021,978.71698,,5/4/18,12:49:56,ppm,,,6393,1253,,,,30096,293,,,,114636,327,,,,<LOD,237,,,,<LOD,112,,,,5731,25,,,,135039,315,,,,1784,45,,,,51,6,,,,26,7,,,,163,7,,,,10701,40,,,,<LOD,39,,,,25,3,,,,12,1,,,,32,1,,,,4,0,,,,<LOD,1,,,,40,1,,,,211,1,,,,10,0,,,,180,1,,,,4,1,,,,<LOD,5,,,,<LOD,19,,,,<LOD,22,,,,<LOD,33,,,,<LOD,43,,,,<LOD,11,,,,3,1,,,,8,1,,,,<LOD,13,,,,<LOD,10,,,,<LOD,6,,,,694851,1079,
6,Geochem(2),,6,A05,33.60469818,-101.8990021,,,5/4/18,12:52:18,ppm,,,<LOD,4927,,,,38727,342,,,,136345,356,,,,<LOD,218,,,,<LOD,111,,,,8874,34,,,,127473,268,,,,2218,52,,,,48,6,,,,33,8,,,,176,8,,,,13880,48,,,,<LOD,47,,,,17,3,,,,11,2,,,,35,1,,,,4,1,,,,<LOD,2,,,,45,1,,,,187,1,,,,13,1,,,,184,1,,,,10,1,,,,6,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,36,,,,<LOD,47,,,,<LOD,12,,,,3,1,,,,9,1,,,,<LOD,14,,,,14,2,,,,<LOD,7,,,,671686,718,
7,Geochem(2),,7,A06,33.60469818,-101.8990021,,,5/4/18,12:54:43,ppm,,,<LOD,4176,,,,32909,301,,,,151129,353,,,,<LOD,224,,,,322,14,,,,7528,29,,,,139356,268,,,,1920,47,,,,51,6,,,,57,8,,,,205,8,,,,11429,40,,,,<LOD,42,,,,16,3,,,,10,1,,,,33,1,,,,4,0,,,,<LOD,2,,,,42,1,,,,174,1,,,,13,1,,,,169,1,,,,9,1,,,,3,1,,,,<LOD,20,,,,<LOD,22,,,,<LOD,34,,,,<LOD,44,,,,<LOD,11,,,,<LOD,8,,,,9,1,,,,<LOD,13,,,,11,2,,,,<LOD,6,,,,654599,684,
8,Geochem(2),,8,A07,33.60469818,-101.8990021,,,5/4/18,12:57:16,ppm,,,<LOD,6319,,,,39627,367,,,,157510,421,,,,308,37,,,,318,17,,,,9175,37,,,,86540,197,,,,2250,54,,,,45,6,,,,42,9,,,,236,9,,,,15554,54,,,,<LOD,52,,,,28,3,,,,19,2,,,,44,1,,,,4,1,,,,<LOD,2,,,,55,1,,,,171,1,,,,18,1,,,,218,1,,,,13,1,,,,10,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,37,,,,<LOD,48,,,,<LOD,13,,,,<LOD,8,,,,11,1,,,,<LOD,14,,,,14,2,,,,<LOD,7,,,,687791,738,
9,Geochem(2),,9,Failure,33.604599,-101.8990021,976.7369995,,5/4/18,12:59:00,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<LOD,2180,,,,<LOD,4058,,,,<LOD,10681,,,,<LOD,8995,,,,<LOD,5995,,,,<LOD,595,,,,<LOD,8952,,,,<LOD,3269,,,,<LOD,384,,,,1000000,270717,,,,<LOD,827,,,,<LOD,395,,,,<LOD,337,,,,<LOD,672,,,,<LOD,821,,,,<LOD,793,,,,<LOD,1119,,,,<LOD,3749,,,,<LOD,3775,,,,<LOD,5765,,,,<LOD,8097,,,,<LOD,4325,,,,<LOD,1251,,,,<LOD,321,,,,<LOD,3107,,,,<LOD,2576,,,,<LOD,1324,,,,<LOD,1874874,
10,Geochem(2),,10,A08,33.60499954,-101.8990021,976.9530029,,5/4/18,12:59:50,ppm,,,<LOD,3364,,,,15571,245,,,,71062,214,,,,<LOD,220,,,,<LOD,84,,,,3225,19,,,,249728,495,,,,1202,43,,,,46,6,,,,59,8,,,,96,7,,,,5787,28,,,,<LOD,32,,,,16,3,,,,11,2,,,,19,1,,,,3,0,,,,1,0,,,,23,0,,,,302,1,,,,7,0,,,,109,1,,,,5,1,,,,<LOD,6,,,,<LOD,22,,,,<LOD,24,,,,<LOD,37,,,,<LOD,49,,,,<LOD,12,,,,<LOD,8,,,,7,1,,,,<LOD,14,,,,<LOD,12,,,,<LOD,7,,,,652719,705,
