Reading #,Method Name,User Factor Name,Test Label,Grid ID,Latitude,Longitude,Elevation,Pseudo Element Config Name,Date,Time, Units,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error 1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error 1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error 1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error 1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error 1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error 1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error 1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error 1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error 1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error 1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error 1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error 1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error 1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error 1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error 1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error 1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error 1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error 1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error 1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error 1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error 1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error 1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error 1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error 1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error 1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error 1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error 1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error 1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error 1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error 1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error 1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error 1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error 1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error 1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error 1s,info
11,Geochem(2),,11,A09,33.604599,-101.8990021,975.151001,,5/4/18,13:02:36,ppm,,,4132,1352,,,,20243,265,,,,89558,277,,,,189,36,,,,104,13,,,,4586,23,,,,226780,542,,,,1228,44,,,,43,6,,,,35,8,,,,111,7,,,,7419,34,,,,<LOD,36,,,,18,3,,,,10,2,,,,21,1,,,,4,0,,,,1,0,,,,25,0,,,,332,2,,,,8,0,,,,118,1,,,,6,1,,,,<LOD,6,,,,<LOD,22,,,,<LOD,24,,,,<LOD,37,,,,<LOD,48,,,,<LOD,12,,,,3,1,,,,6,1,,,,<LOD,14,,,,12,2,,,,3,1,,,,645003,1130,
12,Geochem(2),,12,A10,33.604599,-101.8990021,975.151001,,5/4/18,13:04:46,ppm,,,4416,1327,,,,21449,267,,,,89570,276,,,,<LOD,191,,,,278,13,,,,5077,24,,,,214725,511,,,,1415,45,,,,64,6,,,,27,8,,,,115,7,,,,8084,35,,,,<LOD,37,,,,20,3,,,,9,2,,,,26,1,,,,5,1,,,,<LOD,2,,,,31,1,,,,285,1,,,,9,1,,,,165,1,,,,6,1,,,,3,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,36,,,,<LOD,47,,,,<LOD,12,,,,4,1,,,,7,1,,,,<LOD,14,,,,11,2,,,,<LOD,7,,,,654200,1118,
13,Geochem(2),,13,B01,33.604599,-101.8990021,975.6989746,,5/4/18,13:07:57,ppm,,,<LOD,7302,,,,63406,419,,,,190118,463,,,,<LOD,234,,,,204,15,,,,13863,46,,,,25002,63,,,,2762,52,,,,49,6,,,,47,8,,,,235,8,,,,28754,78,,,,<LOD,66,,,,33,3,,,,24,2,,,,81,2,,,,6,1,,,,<LOD,1,,,,79,1,,,,98,1,,,,18,1,,,,222,1,,,,14,1,,,,9,1,,,,<LOD,19,,,,<LOD,21,,,,<LOD,33,,,,<LOD,43,,,,<LOD,11,,,,<LOD,7,,,,13,1,,,,<LOD,13,,,,17,2,,,,<LOD,6,,,,674942,735,
14,Geochem(2),,14,B02,33.60469818,-101.8990021,975.2659912,,5/4/18,13:10:18,ppm,,,3761,1192,,,,61447,387,,,,214836,528,,,,147,28,,,,147,14,,,,13362,45,,,,25095,66,,,,3113,52,,,,62,6,,,,34,8,,,,337,9,,,,22790,66,,,,<LOD,54,,,,23,3,,,,26,2,,,,62,1,,,,7,1,,,,<LOD,1,,,,71,1,,,,99,1,,,,20,1,,,,243,1,,,,12,1,,,,6,1,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,11,,,,<LOD,7,,,,13,1,,,,<LOD,12,,,,14,2,,,,<LOD,6,,,,654272,1045,
15,Geochem(2),,15,B03,33.604599,-101.8990021,975.1069946,,5/4/18,13:12:39,ppm,,,5153,1117,,,,77638,413,,,,256604,576,,,,<LOD,186,,,,145,14,,,,15582,49,,,,4726,25,,,,3098,51,,,,58,6,,,,33,7,,,,302,8,,,,23311,64,,,,<LOD,54,,,,24,3,,,,19,2,,,,59,1,,,,7,1,,,,<LOD,1,,,,74,1,,,,96,1,,,,20,1,,,,266,1,,,,13,1,,,,4,1,,,,<LOD,17,,,,<LOD,19,,,,<LOD,30,,,,<LOD,39,,,,<LOD,10,,,,4,1,,,,12,1,,,,<LOD,12,,,,12,2,,,,<LOD,6,,,,612739,987,
16,Geochem(2),,16,B04,33.604599,-101.8990021,975.9219971,,5/4/18,13:15:10,ppm,,,6035,1336,,,,36886,329,,,,127894,374,,,,168,35,,,,58,14,,,,8219,34,,,,147009,361,,,,2044,51,,,,66,6,,,,37,8,,,,192,8,,,,14528,53,,,,<LOD,49,,,,20,3,,,,12,2,,,,42,1,,,,5,1,,,,<LOD,2,,,,44,1,,,,232,1,,,,14,1,,,,210,1,,,,9,1,,,,4,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,36,,,,<LOD,47,,,,7,2,,,,<LOD,8,,,,9,1,,,,<LOD,14,,,,10,2,,,,<LOD,7,,,,656248,1144,
17,Geochem(2),,17,B05,33.60449982,-101.8990021,974.3270264,,5/4/18,13:17:26,ppm,,,<LOD,4049,,,,28381,286,,,,127316,321,,,,<LOD,237,,,,<LOD,111,,,,6369,27,,,,147979,296,,,,1660,46,,,,46,6,,,,25,8,,,,120,7,,,,10142,38,,,,<LOD,40,,,,16,3,,,,11,2,,,,27,1,,,,4,0,,,,<LOD,2,,,,38,1,,,,179,1,,,,12,1,,,,167,1,,,,9,1,,,,<LOD,5,,,,<LOD,20,,,,<LOD,23,,,,<LOD,35,,,,<LOD,45,,,,<LOD,11,,,,<LOD,8,,,,8,1,,,,<LOD,13,,,,9,2,,,,<LOD,7,,,,677481,670,
18,Geochem(2),,18,B06,33.60449982,-101.8990021,974.3270264,,5/4/18,13:20:05,ppm,,,<LOD,4000,,,,18983,272,,,,75505,241,,,,<LOD,211,,,,<LOD,114,,,,4944,25,,,,201330,445,,,,1444,48,,,,39,6,,,,37,9,,,,239,9,,,,9378,40,,,,<LOD,42,,,,20,3,,,,9,2,,,,26,1,,,,5,1,,,,<LOD,2,,,,33,1,,,,250,1,,,,11,1,,,,173,1,,,,8,1,,,,7,1,,,,<LOD,23,,,,<LOD,26,,,,<LOD,39,,,,<LOD,51,,,,<LOD,13,,,,<LOD,9,,,,7,1,,,,<LOD,15,,,,13,2,,,,3,1,,,,687534,714,
19,Geochem(2),,19,B07,33.604599,-101.8990021,974.5540161,,5/4/18,13:22:28,ppm,,,<LOD,3748,,,,17642,277,,,,61258,217,,,,<LOD,207,,,,<LOD,111,,,,3528,23,,,,251688,572,,,,1332,51,,,,65,7,,,,32,9,,,,148,9,,,,6999,36,,,,<LOD,40,,,,21,3,,,,13,2,,,,23,1,,,,4,1,,,,1,0,,,,22,1,,,,287,2,,,,8,1,,,,106,1,,,,5,1,,,,3,1,,,,<LOD,25,,,,<LOD,28,,,,<LOD,43,,,,<LOD,57,,,,<LOD,14,,,,<LOD,9,,,,6,1,,,,<LOD,16,,,,<LOD,13,,,,4,1,,,,656806,798,
20,Geochem(2),,20,B08,33.604599,-101.8990021,978.7930298,,5/4/18,13:29:09,ppm,,,4817,1284,,,,24642,275,,,,82473,259,,,,204,35,,,,97,12,,,,5114,24,,,,214373,508,,,,1477,46,,,,52,6,,,,38,8,,,,135,7,,,,11303,44,,,,<LOD,44,,,,18,3,,,,16,2,,,,34,1,,,,6,1,,,,<LOD,2,,,,42,1,,,,292,1,,,,10,1,,,,148,1,,,,7,1,,,,3,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,36,,,,<LOD,47,,,,8,2,,,,<LOD,8,,,,9,1,,,,<LOD,14,,,,12,2,,,,<LOD,7,,,,654671,1101,
21,Geochem(2),,21,B09,33.60449982,-101.8990021,977.2000122,,5/4/18,13:31:51,ppm,,,<LOD,4057,,,,32635,308,,,,135530,345,,,,287,36,,,,<LOD,100,,,,6572,29,,,,152664,314,,,,1924,50,,,,62,6,,,,35,9,,,,153,8,,,,12530,45,,,,<LOD,46,,,,18,3,,,,15,2,,,,36,1,,,,5,1,,,,<LOD,2,,,,38,1,,,,247,1,,,,12,1,,,,173,1,,,,8,1,,,,<LOD,6,,,,<LOD,21,,,,<LOD,24,,,,<LOD,36,,,,<LOD,47,,,,<LOD,12,,,,4,1,,,,8,1,,,,<LOD,14,,,,15,2,,,,4,1,,,,657026,726,
22,Geochem(2),,22,B10,33.604599,-101.8990021,985.2310181,,5/4/18,13:34:08,ppm,,,<LOD,7691,,,,27277,323,,,,92117,296,,,,284,39,,,,76,15,,,,6120,30,,,,171734,407,,,,1821,55,,,,59,7,,,,34,10,,,,156,9,,,,14780,56,,,,<LOD,56,,,,25,3,,,,18,2,,,,44,2,,,,4,1,,,,<LOD,2,,,,42,1,,,,261,1,,,,11,1,,,,150,1,,,,12,1,,,,9,1,,,,<LOD,24,,,,<LOD,27,,,,<LOD,41,,,,<LOD,53,,,,<LOD,14,,,,5,1,,,,10,1,,,,<LOD,16,,,,18,2,,,,4,1,,,,684931,777,
23,Geochem(2),,23,C01,33.60449982,-101.8990021,977.2819824,,5/4/18,13:37:46,ppm,,,2807,920,,,,74296,367,,,,286045,558,,,,<LOD,161,,,,101,12,,,,14896,44,,,,6346,27,,,,3334,49,,,,71,5,,,,43,7,,,,300,8,,,,22877,58,,,,<LOD,50,,,,25,2,,,,19,1,,,,54,1,,,,9,1,,,,<LOD,1,,,,71,1,,,,90,1,,,,18,0,,,,304,1,,,,11,1,,,,<LOD,5,,,,<LOD,16,,,,<LOD,18,,,,<LOD,28,,,,<LOD,37,,,,<LOD,10,,,,<LOD,6,,,,15,1,,,,<LOD,11,,,,<LOD,9,,,,<LOD,5,,,,588268,861,
24,Geochem(2),,24,C02,33.60469818,-101.8990021,975.4379883,,5/4/18,13:40:08,ppm,,,3980,961,,,,71608,367,,,,260629,532,,,,<LOD,189,,,,235,12,,,,14725,44,,,,19463,48,,,,3134,49,,,,67,5,,,,50,7,,,,344,8,,,,23312,60,,,,<LOD,51,,,,24,2,,,,22,1,,,,61,1,,,,10,1,,,,<LOD,1,,,,76,1,,,,119,1,,,,22,1,,,,255,1,,,,12,1,,,,<LOD,5,,,,<LOD,17,,,,<LOD,19,,,,15,5,,,,<LOD,37,,,,<LOD,10,,,,<LOD,6,,,,15,1,,,,<LOD,11,,,,9,2,,,,<LOD,5,,,,601812,886,
25,Geochem(2),,25,C03,33.604599,-101.8990021,977.1569824,,5/4/18,13:42:15,ppm,,,6319,1090,,,,79245,411,,,,258942,573,,,,<LOD,173,,,,231,14,,,,15366,49,,,,8252,32,,,,2945,50,,,,52,6,,,,64,8,,,,131,7,,,,22482,62,,,,<LOD,53,,,,23,3,,,,20,2,,,,62,1,,,,7,1,,,,<LOD,1,,,,71,1,,,,82,1,,,,17,1,,,,275,1,,,,12,1,,,,<LOD,5,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,11,,,,3,1,,,,9,1,,,,<LOD,12,,,,10,2,,,,3,1,,,,605377,973,
26,Geochem(2),,26,C04,33.60440063,-101.8990021,975.5280151,,5/4/18,13:58:27,ppm,,,7442,1079,,,,76294,402,,,,255083,563,,,,<LOD,191,,,,89,13,,,,14463,46,,,,4589,25,,,,2921,49,,,,58,6,,,,46,7,,,,521,10,,,,21171,59,,,,<LOD,50,,,,40,3,,,,17,1,,,,55,1,,,,6,1,,,,<LOD,1,,,,67,1,,,,73,1,,,,19,1,,,,265,1,,,,12,1,,,,<LOD,5,,,,<LOD,17,,,,<LOD,20,,,,<LOD,30,,,,<LOD,39,,,,<LOD,10,,,,<LOD,6,,,,13,1,,,,<LOD,12,,,,9,2,,,,<LOD,5,,,,616746,965,
27,Geochem(2),,27,C05,33.60449982,-101.8990021,978.0640259,,5/4/18,14:01:14,ppm,,,3980,1205,,,,69080,412,,,,235222,574,,,,<LOD,230,,,,135,14,,,,14829,50,,,,8006,32,,,,3176,53,,,,57,6,,,,26,8,,,,391,9,,,,23318,68,,,,<LOD,56,,,,36,3,,,,18,2,,,,63,1,,,,7,1,,,,<LOD,1,,,,72,1,,,,79,1,,,,19,1,,,,267,1,,,,14,1,,,,7,1,,,,<LOD,18,,,,<LOD,21,,,,<LOD,31,,,,<LOD,41,,,,<LOD,11,,,,<LOD,7,,,,13,1,,,,<LOD,12,,,,16,2,,,,<LOD,6,,,,641168,1058,
28,Geochem(2),,28,C06,33.60449982,-101.8990021,978.0640259,,5/4/18,14:03:38,ppm,,,3434,1085,,,,68786,390,,,,226447,526,,,,1094,32,,,,232,14,,,,12605,43,,,,18181,49,,,,2919,49,,,,62,6,,,,45,7,,,,617,11,,,,23310,65,,,,<LOD,54,,,,43,3,,,,26,2,,,,68,1,,,,6,1,,,,<LOD,1,,,,72,1,,,,98,1,,,,22,1,,,,238,1,,,,11,1,,,,<LOD,5,,,,<LOD,17,,,,<LOD,20,,,,<LOD,30,,,,<LOD,39,,,,<LOD,11,,,,<LOD,7,,,,13,1,,,,<LOD,12,,,,7,2,,,,<LOD,6,,,,641665,981,
29,Geochem(2),,29,C07,33.60449982,-101.8990021,978.0640259,,5/4/18,14:08:23,ppm,,,4566,1346,,,,32916,319,,,,115439,353,,,,<LOD,214,,,,46,13,,,,7191,31,,,,144723,366,,,,2223,52,,,,39,6,,,,40,9,,,,244,9,,,,17055,61,,,,<LOD,54,,,,21,3,,,,15,2,,,,47,1,,,,7,1,,,,<LOD,2,,,,49,1,,,,192,1,,,,15,1,,,,178,1,,,,10,1,,,,5,1,,,,<LOD,21,,,,<LOD,24,,,,<LOD,36,,,,<LOD,47,,,,<LOD,13,,,,<LOD,8,,,,8,1,,,,<LOD,14,,,,15,2,,,,3,1,,,,674953,1163,
30,Geochem(2),,30,C08,33.60449982,-101.8990021,978.0640259,,5/4/18,14:10:36,ppm,,,<LOD,6852,,,,61171,396,,,,231869,512,,,,<LOD,239,,,,214,15,,,,13723,46,,,,8027,31,,,,3097,54,,,,59,6,,,,38,8,,,,323,9,,,,22437,62,,,,<LOD,56,,,,32,3,,,,18,2,,,,58,1,,,,9,1,,,,<LOD,1,,,,73,1,,,,86,1,,,,17,1,,,,258,1,,,,14,1,,,,9,1,,,,<LOD,19,,,,<LOD,21,,,,<LOD,32,,,,<LOD,42,,,,<LOD,11,,,,<LOD,7,,,,12,1,,,,<LOD,13,,,,12,2,,,,<LOD,6,,,,658445,721,
31,Geochem(2),,31,C09,33.60449982,-101.8990021,978.0640259,,5/4/18,14:12:42,ppm,,,4354,1074,,,,69193,387,,,,268595,587,,,,<LOD,183,,,,155,14,,,,14439,47,,,,3607,24,,,,3058,51,,,,59,6,,,,56,8,,,,254,8,,,,21268,59,,,,<LOD,51,,,,29,3,,,,21,2,,,,55,1,,,,8,1,,,,<LOD,1,,,,71,1,,,,82,1,,,,18,1,,,,284,1,,,,13,1,,,,<LOD,5,,,,<LOD,18,,,,<LOD,20,,,,<LOD,30,,,,<LOD,39,,,,<LOD,10,,,,<LOD,7,,,,12,1,,,,<LOD,12,,,,13,2,,,,<LOD,6,,,,614354,962,
32,Geochem(2),,32,C10,33.604599,-101.8990021,982.0960083,,5/4/18,14:15:15,ppm,,,5501,1056,,,,69706,383,,,,246438,545,,,,<LOD,199,,,,215,13,,,,14189,45,,,,18220,49,,,,3192,51,,,,63,6,,,,38,7,,,,261,8,,,,22139,61,,,,<LOD,52,,,,24,3,,,,19,2,,,,58,1,,,,8,1,,,,<LOD,1,,,,74,1,,,,90,1,,,,20,1,,,,285,1,,,,13,1,,,,3,1,,,,<LOD,17,,,,<LOD,19,,,,<LOD,30,,,,<LOD,39,,,,<LOD,10,,,,<LOD,7,,,,14,1,,,,<LOD,12,,,,11,2,,,,<LOD,6,,,,619419,954,
