Number,Fe（%）,Ca（%）,K（%）,Ti（%）,Mn（mg/kg）,Zr（mg/kg）,S（mg/kg）,Sr（mg/kg）,Rb（mg/kg）,V（mg/kg）,Zn（mg/kg）,Cr（mg/kg）,Ni（mg/kg）,Cu（mg/kg）,Pb（mg/kg）,Sc（mg/kg）,Co（mg/kg）,W（mg/kg）
C1-1,2.43 ,1.27 ,2.01 ,0.39 ,387,243,90,221,102,86,83,47,58,37,23,25,46,41
C1-2,2.34 ,1.27 ,2.14 ,0.41 ,414,237,84,211,98,101,92,58,57,35,26,16,63,23
C1-3,2.15 ,1.35 ,2.23 ,0.41 ,403,248,59,215,102,96,77,50,75,31,32,53,57,30
C1-4,2.45 ,1.25 ,2.13 ,0.41 ,414,229,63,207,100,120,81,75,46,35,26,32,59,48
C1-5,2.54 ,1.21 ,2.27 ,0.44 ,412,228,68,195,105,121,77,75,56,39,35,54,58,19
C1-6,2.29 ,0.90 ,2.23 ,0.43 ,405,224,77,199,98,116,59,55,67,31,21,17,52,33
C1-7,2.42 ,1.40 ,2.23 ,0.45 ,443,229,65,215,100,103,77,67,56,37,26,40,63,34
C1-8,2.44 ,1.88 ,2.27 ,0.44 ,516,216,180,242,100,97,80,63,64,38,34,62,63,42
C1-9,2.61 ,1.17 ,2.13 ,0.43 ,419,213,201,188,105,100,86,70,53,42,28,39,86,37
C1-10,2.53 ,1.32 ,2.28 ,0.49 ,431,225,188,189,104,116,82,72,86,32,32,42,80,35
C2-1,2.42 ,0.93 ,2.16 ,0.43 ,400,248,273,198,102,100,64,60,68,39,19,37,35,42
C2-2,2.43 ,0.86 ,2.05 ,0.41 ,384,235,209,190,103,111,58,60,72,41,19,32,68,13
C2-3,2.41 ,0.91 ,2.23 ,0.44 ,368,233,211,195,106,106,63,70,71,39,19,38,93,31
C2-4,2.35 ,1.00 ,2.22 ,0.45 ,301,252,265,197,104,111,59,67,47,34,16,47,102,56
C2-5,2.39 ,1.02 ,2.25 ,0.45 ,380,240,275,200,106,116,64,61,71,30,17,43,88,40
C2-6,2.16 ,1.47 ,2.37 ,0.45 ,358,219,297,210,96,98,58,49,88,32,21,41,110,29
C2-7,2.32 ,1.21 ,2.09 ,0.40 ,350,242,104,201,100,80,66,62,52,34,20,54,53,31
C2-8,2.29 ,1.10 ,2.30 ,0.45 ,363,252,61,204,102,99,73,77,74,43,25,47,51,23
C2-9,2.21 ,1.22 ,2.05 ,0.41 ,343,209,35,217,99,77,67,50,69,31,23,32,24,7
C2-10,2.02 ,1.57 ,2.06 ,0.35 ,474,223,535,225,95,73,75,53,48,35,23,70,30,16
C3-1,2.26 ,0.79 ,1.94 ,0.39 ,371,238,402,185,101,83,61,46,83,30,22,13,17,24
C3-2,2.49 ,1.12 ,2.21 ,0.45 ,417,244,303,193,101,111,60,60,76,38,19,45,29,47
C3-3,2.58 ,1.24 ,2.18 ,0.43 ,380,222,184,197,102,84,60,70,70,39,21,14,43,56
C3-4,2.57 ,1.09 ,2.10 ,0.43 ,402,240,201,191,106,118,64,57,75,38,19,40,71,25
C3-5,2.63 ,1.07 ,2.16 ,0.44 ,347,268,40,196,107,90,75,78,69,31,22,17,91,30
C3-6,2.40 ,1.46 ,2.19 ,0.44 ,411,235,30,212,102,91,65,56,64,31,20,39,73,41
C3-7,2.59 ,1.85 ,2.35 ,0.46 ,385,219,50,213,105,84,74,66,81,38,21,48,56,33
C3-8,2.40 ,0.97 ,2.26 ,0.46 ,367,246,81,194,105,90,61,73,61,39,19,22,62,45
C3-9,2.46 ,0.93 ,2.02 ,0.42 ,317,244,87,197,104,99,62,61,55,79,21,32,50,8
C3-10,2.43 ,1.03 ,2.15 ,0.42 ,467,235,57,197,101,87,64,48,71,39,24,49,49,24
C4-1,2.56 ,1.24 ,2.24 ,0.46 ,407,226,221,206,105,128,66,59,56,31,21,48,25,61
C4-2,2.66 ,1.56 ,2.47 ,0.50 ,417,229,389,210,106,131,70,73,69,35,21,54,43,23
C4-3,2.47 ,1.11 ,2.15 ,0.44 ,400,226,315,199,103,100,66,58,67,34,23,20,43,26
C4-4,2.58 ,1.14 ,2.23 ,0.44 ,467,228,306,201,106,118,72,68,654,36,20,29,58,40
C4-5,2.46 ,1.26 ,2.27 ,0.46 ,500,243,54,204,102,93,61,62,73,39,16,57,48,42
C4-6,2.27 ,1.11 ,2.18 ,0.43 ,322,233,267,205,102,107,61,62,65,34,19,32,69,12
C4-7,2.40 ,0.97 ,2.35 ,0.48 ,399,247,281,200,104,95,58,68,78,40,18,35,49,43
C4-8,2.57 ,1.29 ,2.34 ,0.47 ,425,225,111,194,104,93,63,61,81,37,22,42,39,36
C4-9,2.37 ,0.88 ,2.28 ,0.45 ,354,231,203,195,106,111,62,49,69,30,20,-4,11,30
