Number,Fe（%）,Ca（%）,K（%）,Ti（%）,Mn（mg/kg）,Zr（mg/kg）,S（mg/kg）,Sr（mg/kg）,Rb（mg/kg）,V（mg/kg）,Zn（mg/kg）,Cr（mg/kg）,Ni（mg/kg）,Cu（mg/kg）,Pb（mg/kg）,Sc（mg/kg）,Co（mg/kg）,W（mg/kg）
C4-10,2.40 ,1.06 ,2.29 ,0.45 ,422,221,244,197,104,119,62,78,74,39,18,51,12,17
C5-1,2.60 ,1.01 ,2.21 ,0.46 ,404,236,169,195,109,99,60,63,63,31,19,9,49,34
C5-2,2.20 ,1.19 ,2.22 ,0.43 ,349,219,173,213,101,91,61,60,56,37,22,27,17,35
C5-3,2.56 ,0.91 ,2.25 ,0.46 ,453,234,228,199,106,106,64,64,78,32,18,31,29,38
C5-4,2.61 ,0.98 ,2.20 ,0.43 ,420,229,401,193,103,102,65,58,54,32,20,41,49,37
C5-5,2.50 ,0.86 ,2.04 ,0.40 ,314,221,272,186,106,94,59,61,46,23,18,6,38,35
C5-6,2.55 ,1.03 ,2.25 ,0.45 ,346,224,162,193,106,108,63,71,67,45,21,21,65,29
C5-7,2.51 ,1.15 ,2.34 ,0.47 ,481,241,177,200,107,102,65,65,73,29,22,29,10,50
C5-8,2.67 ,1.28 ,2.21 ,0.44 ,470,227,155,204,106,107,56,60,55,44,19,40,38,54
C5-9,2.32 ,0.75 ,1.86 ,0.38 ,330,227,142,185,101,75,61,49,52,38,21,13,88,32
C5-10,2.46 ,0.96 ,2.28 ,0.45 ,354,233,247,196,106,117,67,62,67,35,20,27,41,49
C6-1,2.44 ,0.91 ,2.25 ,0.47 ,349,273,301,192,105,118,60,63,76,40,19,30,80,48
C6-2,2.58 ,0.91 ,2.22 ,0.46 ,479,241,412,195,104,102,66,63,73,27,20,51,22,26
C6-3,2.20 ,0.89 ,2.06 ,0.41 ,351,228,422,197,101,94,59,59,43,39,20,42,43,28
C6-4,2.33 ,1.03 ,2.05 ,0.43 ,325,221,484,199,103,99,57,61,53,41,22,20,91,35
C6-5,2.38 ,0.81 ,1.97 ,0.42 ,341,258,191,191,104,93,62,46,64,29,18,34,64,9
C6-6,2.00 ,1.05 ,2.30 ,0.44 ,311,243,247,206,96,93,59,60,69,27,17,12,81,26
C6-7,1.95 ,0.98 ,2.13 ,0.39 ,314,247,56,203,93,68,56,50,69,31,18,32,56,24
C6-8,2.09 ,1.28 ,2.26 ,0.43 ,402,231,20,214,98,88,62,54,74,37,16,42,59,33
C6-9,2.38 ,1.00 ,2.20 ,0.42 ,402,216,19,200,102,103,60,46,61,37,17,20,18,51
C6-10,2.37 ,0.98 ,2.23 ,0.43 ,343,216,201,191,102,118,62,49,59,49,17,29,50,34
C7-1,2.64 ,0.87 ,2.18 ,0.46 ,361,250,261,188,107,101,59,67,72,37,24,18,81,47
C7-2,2.64 ,0.75 ,2.17 ,0.45 ,312,226,192,178,106,116,63,57,50,37,19,18,143,13
C7-3,2.76 ,0.87 ,2.23 ,0.48 ,331,234,239,184,110,109,69,57,66,41,20,9,150,49
C7-4,2.88 ,0.77 ,2.20 ,0.46 ,302,229,90,174,107,102,66,77,59,41,20,21,56,23
C7-5,2.85 ,0.84 ,2.17 ,0.44 ,334,210,279,181,108,110,68,73,42,43,18,24,85,23
C7-6,2.28 ,0.91 ,2.31 ,0.44 ,330,199,416,187,106,108,72,60,62,34,20,35,20,47
C7-7,2.42 ,0.85 ,2.00 ,0.40 ,332,203,248,183,104,101,64,53,57,29,16,27,58,27
C7-8,2.62 ,0.89 ,2.05 ,0.42 ,367,214,405,186,105,91,67,69,50,47,21,45,119,31
C7-9,2.60 ,0.84 ,2.22 ,0.45 ,343,225,34,196,107,109,61,73,59,36,18,20,35,43
C7-10,2.49 ,0.93 ,2.20 ,0.44 ,342,216,51,189,105,101,62,53,57,32,17,10,55,18
C8-1,2.81 ,0.95 ,2.21 ,0.42 ,404,200,548,190,108,111,70,61,63,39,22,19,110,24
C8-2,3.02 ,0.93 ,2.37 ,0.48 ,402,200,618,177,117,109,73,78,96,27,21,45,59,43
C8-3,2.57 ,0.85 ,2.20 ,0.45 ,359,238,341,196,106,99,73,61,62,33,16,18,34,32
C8-4,2.72 ,1.08 ,2.05 ,0.41 ,478,226,325,194,108,104,72,66,95,48,18,29,76,31
C8-5,3.01 ,1.17 ,2.37 ,0.47 ,434,213,110,194,114,131,73,78,73,41,26,21,68,18
C8-6,2.51 ,1.17 ,2.45 ,0.52 ,390,254,118,197,109,118,62,55,77,33,21,29,68,41
C8-7,2.59 ,0.85 ,2.17 ,0.44 ,389,230,269,192,105,129,61,54,49,32,19,35,66,39
C8-8,2.66 ,1.01 ,2.21 ,0.46 ,360,231,323,198,109,121,70,67,69,36,21,23,65,25
C8-9,2.10 ,1.10 ,2.29 ,0.44 ,315,224,211,206,98,79,61,66,79,38,20,41,65,24
C8-10,2.30 ,0.91 ,2.29 ,0.47 ,417,241,166,192,108,108,63,79,77,38,17,43,38,34
C9-1,3.32 ,0.71 ,2.33 ,0.47 ,447,216,246,175,119,107,68,86,76,44,22,29,63,44
C9-2,2.67 ,0.91 ,2.34 ,0.48 ,320,213,583,186,107,139,71,70,74,46,20,26,97,42
C9-3,2.79 ,0.91 ,2.34 ,0.48 ,415,244,501,196,112,116,63,63,59,35,24,37,86,34
C9-4,2.19 ,0.79 ,2.30 ,0.48 ,371,252,67,198,104,99,55,61,71,39,17,9,83,17
C9-5,2.33 ,0.97 ,2.33 ,0.50 ,381,250,33,201,106,107,57,55,68,37,20,14,62,36
C9-6,2.49 ,1.03 ,2.17 ,0.44 ,482,232,157,206,105,94,61,55,66,37,21,41,17,27
C9-7,2.32 ,0.88 ,2.20 ,0.43 ,394,236,155,206,104,91,66,53,71,27,21,32,53,50
C9-8,2.44 ,1.30 ,2.15 ,0.44 ,443,230,220,210,100,120,80,73,49,36,33,39,33,35
C9-9,2.62 ,0.86 ,2.04 ,0.43 ,419,224,194,197,103,87,62,56,46,37,21,28,51,33
C9-10,2.63 ,0.72 ,1.84 ,0.40 ,281,230,248,181,102,91,65,52,34,41,19,30,79,26
